"%d terms have been deleted.","%d Begriffe wurden gelöscht."
"Active","Aktiv"
"Case Sensitive","Groß- und Kleinschreibung"
"General","Allgemein"
"Mode","Modus"
"Position","Position"
"Redirect Url","Weiterleitung Url"
"Search Redirect","Suche Weiterleitung"
"Search Redirect > Terms","Suche Weiterleitung > Begriffe"
"Term","Begriff"
"Terms","Begriffe"
"The term has been created.","Der Begriff wurde erstellt."
"The term has been deleted.","Der Begriff wurde gelöscht."
"The term has been saved.","Der Begriff wurde aktualisiert."
"Unable to find the term with id: %d!","Kein Begriff mit der Id: %d gefunden!"
